gpt_layer,WER_zscore,BLEU_zscore,METEOR_zscore,BERT_zscore
6,1.812298540769428,0.8734662734519993,0.40060171725603017,1.4501889
7,1.4222152242877701,1.4955518437971287,1.4819876365632476,4.344699
8,2.730231726284861,1.3098340934803083,1.3042017582369587,2.582328
9,1.704767221094964,1.7702071204224945,1.0183319350579307,2.8672938
10,0.6803876542976238,1.1852455224633727,1.8014219498921065,1.7755879
