subject,gpt_layers,WER_score,BLEU_score,METEOR_score,BERT_score
1,default,0.9433695430296157,0.2274254386329718,0.164688325631107,0.80714226
2,default,0.9404368964687801,0.2374957607363284,0.16943283002335233,0.8095943
1,gpt_layers_3_5_7_9,0.9378108529432776,0.23176917919902634,0.17169213648809037,0.8081281
2,gpt_layers_3_5_7_9,0.9415407960775571,0.22917656918797266,0.16359114765385463,0.8069467
