gpt_layer,WER_zscore,BLEU_zscore,METEOR_zscore,BERT_zscore
6,2.396832448147452,3.8170329972466344,4.19111120822221,4.8921537
7,1.7508409222713537,1.514511714007313,1.3792760856609976,3.553219
8,2.192203856784674,2.862801667486202,2.111033682374207,4.759087
9,2.818599966484292,2.7414086899339147,3.0183906555115003,5.088041
10,2.2919088563404566,4.164183565894594,3.62231013232706,6.0924754
