gpt_layer,WER_zscore,BLEU_zscore,METEOR_zscore,BERT_zscore
3,2.9469706418327655,3.8621951539393993,4.392769864389865,6.2679634
4,2.18050506132081,2.379736127866487,2.1731052144794765,4.4968305
5,2.818599966484292,2.7414086899339147,3.0183906555115003,5.088041
8,4.481968101057594,4.850421559335594,4.886897091588647,5.659513
10,2.7963023597401158,4.17545981844149,4.415894249395222,5.401178
