subject,wrmodel,significantly_decoded
1,speech,0.13148371531966224
1,auditory,0.09288299155609167
2,speech,0.24728588661037396
2,auditory,0.376357056694813
3,speech,0.29071170084439085
3,auditory,0.3148371531966224
