subject,WER,BLEU,METEOR,BERT
null,0.9614516658,0.1922984888,0.13897329705,0.7901246485
1,0.9433695430296157,0.2274254386329718,0.164688325631107,0.8071422576904297
2,0.9404368964687801,0.2374957607363284,0.16943283002335233,0.8095942735671997
3,0.9233314640111009,0.24658439092915768,0.18061587389874967,0.8120101690292358
