subject,gpt_layer,WER_zscore,BLEU_zscore,METEOR_zscore,BERT_zscore
S1,6,2.396832448147452,3.8170329972466344,4.19111120822221,4.8921537
S1,7,1.7508409222713537,1.514511714007313,1.3792760856609976,3.553219
S1,8,2.192203856784674,2.862801667486202,2.111033682374207,4.759087
S1,9,2.818599966484292,2.7414086899339147,3.0183906555115003,5.088041
S1,10,2.2919088563404566,4.164183565894594,3.62231013232706,6.0924754
S2,6,3.3476951107088544,4.629075026645127,4.813720202073453,5.9901357
S2,7,4.32475283880275,3.161479098921396,2.493980453562386,6.885532
S2,8,4.061385920852888,3.7657063009002743,4.121037016189704,8.287516
S2,9,2.168734413042585,3.2423651751213245,3.9796521063026487,8.074754
S2,10,3.0411949417052426,3.4415550194358167,4.073799469820594,5.680726
S3,6,4.192098093302134,3.550682448790872,3.4815584492264096,5.224748
S3,7,4.103611601020763,4.486486961202834,4.281328988286459,6.986998
S3,8,3.9727826445393246,4.740158801067872,5.651767506351321,7.0982533
S3,9,2.9735994042244176,2.8001794544992666,2.5506259419561528,7.792186
S3,10,3.207747492379102,3.3374280083614147,3.6110712107319767,6.049512
