subject,task,percent_sig_decoded
1,attend-M,0.3968253968253968
1,attend-F,0.38412698412698415
2,attend-M,0.7904761904761904
2,attend-F,0.6571428571428571
3,attend-M,0.7682539682539683
3,attend-F,0.6412698412698413
1,attend-M-ref-F,0.031746031746031744
1,attend-F-ref-M,0.050793650793650794
2,attend-M-ref-F,0.012698412698412698
2,attend-F-ref-M,0.06031746031746032
3,attend-M-ref-F,0.05396825396825397
3,attend-F-ref-M,0.025396825396825397
