subject,WER,BLEU,METEOR,BERT
1,7.155794176075754,5.9819780851328215,6.147434015058574,14.002044
2,6.645121252706422,6.835074519541741,6.425781471332081,17.386839
3,11.14339861802727,7.674203582624187,9.176219625945933,18.887459
