subject,gpt_layer,significantly_decoded
S1,6,0.6660746003552398
S1,7,0.6749555950266429
S1,8,0.605683836589698
S1,9,0.5985790408525755
S1,10,0.655417406749556
S2,6,0.5701598579040853
S2,7,0.6571936056838366
S2,8,0.5150976909413855
S2,9,0.5932504440497336
S2,10,0.5168738898756661
S3,6,0.7477797513321492
S3,7,0.8507992895204263
S3,8,0.7886323268206039
S3,9,0.7460035523978685
S3,10,0.7282415630550622
