subject,gpt_layer,significantly_decoded
S1,6,0.09667673716012085
S1,7,0.021148036253776436
S1,8,0.07854984894259819
S1,9,0.24773413897280966
S1,10,0.22356495468277945
S2,6,0.24471299093655588
S2,7,0.3021148036253776
S2,8,0.40483383685800606
S2,9,0.43202416918429004
S2,10,0.24169184290030213
S3,6,0.29003021148036257
S3,7,0.283987915407855
S3,8,0.311178247734139
S3,9,0.40181268882175225
S3,10,0.25075528700906347
