task,alpha_ref,bravo_ref,charlie_ref,delta_ref,echo_ref
alpha_repeat-1,1.7464923,-0.50406873,0.6787125,0.29314783,0.42680475
alpha_repeat-2,2.9282024,2.0304666,1.1200224,1.9437996,0.8321137
bravo_repeat-1,0.5612203,1.1863533,-0.5299067,-0.22613898,0.33567163
bravo_repeat-2,1.1474178,1.7802426,0.1955868,0.14028184,-0.057766248
charlie_repeat-1,0.5942416,0.15547268,0.88753223,0.55635905,0.23747775
charlie_repeat-2,1.9374183,1.1778522,0.94586533,0.9790132,1.5673263
delta_repeat-1,0.7645428,1.5647546,1.2328181,3.0391695,1.7740306
delta_repeat-2,0.9512086,1.1026399,2.0747283,1.9286785,1.1928121
echo_repeat-1,3.149812,1.4774555,0.81258935,1.2039776,2.01874
echo_repeat-2,0.7132401,0.5056266,2.0202029,0.17716815,1.2783959
