gpt_layer,BERT_window_zscore_0,BERT_window_zscore_1,BERT_window_zscore_2,BERT_window_zscore_3,BERT_window_zscore_4,BERT_window_zscore_5,BERT_window_zscore_6,BERT_window_zscore_7,BERT_window_zscore_8,BERT_window_zscore_9,BERT_window_zscore_10,BERT_window_zscore_11,BERT_window_zscore_12,BERT_window_zscore_13,BERT_window_zscore_14,BERT_window_zscore_15,BERT_window_zscore_16,BERT_window_zscore_17,BERT_window_zscore_18,BERT_window_zscore_19,BERT_window_zscore_20,BERT_window_zscore_21,BERT_window_zscore_22,BERT_window_zscore_23,BERT_window_zscore_24,BERT_window_zscore_25,BERT_window_zscore_26,BERT_window_zscore_27,BERT_window_zscore_28,BERT_window_zscore_29,BERT_window_zscore_30,BERT_window_zscore_31,BERT_window_zscore_32,BERT_window_zscore_33,BERT_window_zscore_34,BERT_window_zscore_35,BERT_window_zscore_36,BERT_window_zscore_37,BERT_window_zscore_38,BERT_window_zscore_39,BERT_window_zscore_40
6,-0.15192054212093353,-0.08812358975410461,-0.3051987886428833,-1.3885600566864014,-0.38238564133644104,-0.017274456098675728,0.029918698593974113,-0.19537974894046783,0.0721094086766243,-0.09512364119291306,0.6355806589126587,0.5074396729469299,0.9501128196716309,0.3587035834789276,1.3076361417770386,1.3038221597671509,0.32847610116004944,0.9486679434776306,-1.4329278469085693,1.1572916507720947,1.5748674869537354,1.324535608291626,1.5915577411651611,1.6339975595474243,2.1025400161743164,2.3525869846343994,2.8562378883361816,1.3654744625091553,1.9098997116088867,1.7014933824539185,2.6303720474243164,1.2573763132095337,1.4063493013381958,1.5578436851501465,1.7267447710037231,1.0894482135772705,0.9342970252037048,1.1479475498199463,0.7486109137535095,0.26810580492019653,0.4309397041797638
7,-1.652751088142395,-1.4000509977340698,-0.9682029485702515,-1.9968621730804443,-0.7224617004394531,-0.4999944269657135,-0.17071318626403809,-0.05276506021618843,-0.02888701669871807,-0.42894381284713745,0.06729689985513687,0.6776702404022217,0.6144360899925232,1.2097349166870117,1.305026650428772,1.3944271802902222,1.8575358390808105,2.1334891319274902,0.7065566778182983,1.411320686340332,1.911003589630127,2.5192511081695557,2.8141119480133057,4.440910339355469,3.147780418395996,5.081563472747803,4.867362022399902,5.787302494049072,5.906534671783447,5.46505880355835,6.3870673179626465,5.984520435333252,6.212961196899414,7.199338436126709,6.572392463684082,5.620278358459473,4.747838020324707,5.700201988220215,4.830099582672119,4.393409252166748,4.133020401000977
8,-1.1053627729415894,-1.3571522235870361,-2.057551622390747,-1.6301873922348022,-0.8733730912208557,-1.2739307880401611,-0.9044864773750305,-1.0115396976470947,-0.761160671710968,-0.9141391515731812,-0.7086069583892822,0.2583406865596771,0.3079967200756073,-0.0729495957493782,0.9320719838142395,0.3501630127429962,1.1211694478988647,-0.16624829173088074,0.09779389947652817,0.40498313307762146,-0.7841311097145081,0.9471268057823181,-0.13748909533023834,1.4828628301620483,1.0710828304290771,2.0903878211975098,2.271759033203125,4.043338775634766,3.470672369003296,4.70726203918457,5.24160099029541,5.022161960601807,5.5749640464782715,5.7632551193237305,5.1669769287109375,5.482704162597656,4.6814775466918945,5.1888556480407715,4.073638439178467,4.364315509796143,3.8478853702545166
9,-0.6805723905563354,-0.8596914410591125,-0.40011167526245117,0.15573732554912567,-0.4501461386680603,-0.5598176121711731,-0.2553980052471161,0.21751591563224792,-0.027100514620542526,0.20606264472007751,0.09398437291383743,0.5635311007499695,0.5128293633460999,1.1180071830749512,1.7453155517578125,2.2070813179016113,1.7257736921310425,1.3563807010650635,0.8395150303840637,-0.6484253406524658,-0.6106604337692261,-0.33178552985191345,0.8881030678749084,0.5829054713249207,0.6254897713661194,1.339694857597351,3.1515748500823975,3.23685359954834,3.8071799278259277,4.7128472328186035,5.191741466522217,5.66801643371582,4.634117126464844,5.746131420135498,4.570906639099121,4.8009772300720215,4.903895378112793,4.020778656005859,4.226354122161865,4.2606401443481445,3.7585902214050293
10,-1.2811135053634644,-0.5509469509124756,-1.7286319732666016,-0.4760136902332306,-0.9277105927467346,-0.535474419593811,-0.9197655320167542,0.14734281599521637,0.5753747820854187,-0.302863746881485,0.03450432047247887,0.9698677659034729,1.26217782497406,0.9358201622962952,1.1403698921203613,1.396789312362671,0.3877730965614319,2.1334900856018066,0.1968003213405609,1.188888669013977,1.210745930671692,0.1579451709985733,1.0881086587905884,0.480744868516922,-0.006792275235056877,1.4488176107406616,2.1013588905334473,1.968967080116272,1.5451960563659668,2.2623751163482666,2.7369377613067627,2.433497667312622,2.8109138011932373,2.991455078125,2.0741896629333496,1.951911211013794,2.1791627407073975,2.5016367435455322,2.178609609603882,3.0112874507904053,3.2447075843811035
