subject,beam_width,BERT
1,100,0.69449378330373
2,100,0.5914742451154529
3,100,0.7424511545293073
1,200,0.5719360568383659
2,200,0.6163410301953819
3,200,0.7406749555950266
1,400,0.6092362344582594
2,400,0.6039076376554174
3,400,0.7477797513321492
1,800,0.6891651865008881
2,800,0.6234458259325044
3,800,0.7637655417406749
1,1600,0.6785079928952042
2,1600,0.6998223801065719
3,1600,0.7992895204262878
