subject,beam_width,WER_zscore,BLEU_zscore,METEOR_zscore,BERT_zscore
1,100,9.333483272290792,6.424794856936584,7.694192363291403,14.935354
2,100,7.493499619681976,6.139808273014903,5.4947538808090375,16.187977
3,100,11.494952073195972,9.036042367451337,9.168808993737754,18.167984
1,200,7.1241294775021125,6.016178355941508,6.299387991014077,17.212069
2,200,7.188993925034579,6.74791694273371,6.580528032144673,17.50109
3,200,12.375003393059679,7.818475619256059,8.415068876526192,19.130272
1,400,8.652776296419802,5.914790555314163,8.186183993654852,17.169315
2,400,10.39627402033818,7.5803250795314865,6.908165270853691,16.071901
3,400,9.600375692717483,7.631860727524924,7.690229893772848,20.252522
1,800,8.156030842474637,7.38326955674259,8.104838534789321,17.460669
2,800,7.346890227814723,6.801915271879467,5.818034249375688,14.461943
3,800,11.399546314230795,7.733681552753988,9.073753126146064,19.351576
1,1600,11.295223812376193,7.028468191406092,8.512794457755282,18.126898
2,1600,8.288347428555616,7.538767795578406,6.441013136501117,17.8145
3,1600,10.701687952068397,6.62325904807311,7.459852703620633,20.589111
